id,link_to_property,price,size,address,key_features,description,agent_name,agent_address,agent_phone_number
9265774,https://www.onthemarket.com/details/9265774,"£23,500,000",,"Holland Villas Road, Holland Park, London","1. Tenure: Freehold, 2. Drawing room, 3. Two sitting rooms, 4. Kitchen/ Family room, 5. Media room, 6. Principal bedroom suite, 7. Five further bedrooms, 8. Staff room, 9. Three further bath /shower rooms, 10. Carriage driveway with parking for a number of cars, 11. West facing garden and terrace","This impressive family house is arrangedover only four floors and offers excellententertaining space, including a large drawing roomwith access onto a west-facing terrace, withsteps down to a large, mature and privatewest-facing garden. In addition the househas off-street parking for a number of cars.Holland Villas Road is well situated closeto the shopping and transport facilities ofHolland Park, Kensington High Street andNotting Hill Gate as well as having the openspaces of Holland Park nearby.",Strutt & Parker - London Kensington Sales,103 Kensington Church Street Kensington W8 7LN,020 8022 7045
15819188,https://www.onthemarket.com/details/15819188,"£15,750,727","5,455 sq ft / 507 sq m","Elgin Crescent, London, W11","1. Tenure: Freehold, 2. Bespoke Design, 3. South   East Facing Double Width Private Garden, 4. Access To A Large and Famous Communal Garden, 5. Lift Access to all 7 Floors, 6. Gated Parking for 2 Cars, 7. Eco Friendly Home","Comprising seven floors with lift access throughout, the house was fully renovated in 2014, by the current owners, creating an eco-friendly home retaining its original exterior within a sought-after conservation area. The double-width, south-east facing garden benefits from direct access to the renowned Rosmead Garden, featured in the film Notting Hill, the largest communal garden (over 2 acres) in the area, offering a true community feel. The home is an end of terrace corner plot and offers ample side access with gated parking for two cars, plus additional residents' parking.Inside, the raised ground floor boasts a spacious double reception room with soundproof middle doors creating the ability to split the room, wide bay windows, and views over the garden. The lower ground floor has an open-plan kitchen and dining with polished concrete flooring, pocket storage, and a seamless indoor-outdoor flow in addition to a guest cloakroom. The first basement features a large reception room, currently used as a playroom with large TV,  a guest suite, and an additional wok-style kitchen. There is also the option to convert the study/seventh bedroom into a cinema room. The sub-basement includes a gym/party room with a bar.The principal suite spans the entire first floor, with a walk-in dressing area and a luxurious bathroom overlooking the gardens. Four additional double bedrooms, two with en-suites, complete the upper floors.Other features include comfort cooling, underfloor heating or cooling, and a Crestron home automation system. Located on one of the area’s premier streets, this home offers exceptional living in the heart of Notting Hill.Communal garden maintenance charge is included within the council tax fee.",Beauchamp Estates - Mayfair,24 Curzon Street Mayfair W1J 7TF,020 8022 7335
14319127,https://www.onthemarket.com/details/14319127,"£16,800,000","4,510 sq ft / 419 sq m","Queens Grove, St John's Wood, London, NW8","1. Tenure: Freehold, 2. 6 bed family home on the East side of St John's Wood, 3. South West facing rear garden, 4. Gated off street parking, 5. Close proximity to the local high street and Under Ground Station, 6. Freehold, 7. EPC Rating = D","A semi-detached white stucco Villa on the East side of St John's Wood with off street parking.
DescriptionThis stucco residence is arranged over five floors and provides excellent family accommodation with generous entertaining spaces on the raised ground floor and basement. Further benefits include a good size South West facing rear garden with patio area and gated off street parking.LocationWith its village-like ambiance, elegant Regency and contemporary buildings, world famous cricket ground and established cosmopolitan atmosphere, St John’s Wood is one of central London’s most sought-after addresses.Just a short distance by road or underground to London’s West End and City, yet set apart due to its unique architectural heritage and history, and the 400 acres of neighbouring Regent’s Park and Primrose Hill, St John’s Wood has been a highly desirable place to live over the last 200 years.Queens Grove approximately 0.6 miles from the green openspaces of Primrose Hill. Furthermore the property is ideally located within close proximity to St John’s Wood Underground Station (approximately 0.4 miles) and Swiss Cottage Underground (approximately 0.5 miles), providing connections on the Jubilee Line.The property is also close to some of the most renowned schools in North West London, and the world class shops, boutiques and restaurants and cafés of St John’s Wood (approximately 0.5 miles) and Primrose Hill (approximately 1.1 miles).Square Footage: 6,469 sq ft",Savills - St John's Wood & Regent's Park,15 St John's Wood High Street St John's Wood NW8 7NG,020 8022 7387
15793357,https://www.onthemarket.com/details/15793357,"£21,500,000","9,261 sq ft / 860 sq m","Holland Park Road, LONDON, W14",1. Tenure: Freehold,"Set behind gates in a secluded location, this grand house displays outstanding period features and large windows, flooding the home with natural light. This handsome, low-built house is now in need of refurbishment and offers huge potential to create a fantastic home with magnificent entertaining rooms. There is a voluminous artist’s studio attached to the house and a further artist’s studio in the grounds, which could be linked to the main house subject to the necessary consents. The house stands in the centre of its own grounds with an attractive rear garden, ample parking and a large double garage.",Beauchamp Estates - Mayfair,24 Curzon Street Mayfair W1J 7TF,020 8022 7335
15792662,https://www.onthemarket.com/details/15792662,"£20,000,000","10,369 sq ft / 963 sq m","Gloucester Lodge, London, NW1",,"One of Regent's Park's most desirable homes, this outstanding Grade I Listed Nash villa is set behind a large carriage drive, providing parking for up to eight cars. This elegant residence boasts magnificent principal reception rooms, most of which offer spectacular views over Regent’s Park, along with a private walled rear garden and one separate self-contained Mews house.The property spans approximately 8,000 square feet, with planning consent for a rear extension and basement, increasing the size to around 10,000 square feet. Further details regarding the plans are available upon request.",Beauchamp Estates - St. Johns Wood,80 St John's Wood High Street London NW8 7SH,020 8022 6407
10857628,https://www.onthemarket.com/details/10857628,"£15,950,000","8,643 sq ft / 803 sq m","Belsize Lane, Hampstead, London, NW3","1. Tenure: Freehold, 2. Strawberry hill gothic revival style villa, 3. Period elegance designed for luxury living, 4. High ceilings, 5. Classic period architecture with contemporary finishes, 6. Extensive and secluded gardens, 7. Spa, pool, games and media area, 8. EPC Rating = C","A unique country estate in London measuring 8,117 sq ft/ 754.1 sq m.
DescriptionHunter’s Lodge is a magnificent Grade II listed white-stucco castellated Georgian mansion, built in Gothic-revival style in 1810-1812 by architect Joseph Parkinson (1783-1855) that comes with 525 years of rich history and has recently been fully modernised, with a new build extension and basement leisure floor.Accommodation summary: 2 Master Bedroom Suites, 4 Further Bedrooms (2 en suite), Family Bathroom, Guest Suite Comprising Bedroom and en suite Shower Room, Reception Hall, Drawing Room, Library, Study, Dining Room, Family Room, Kitchen Breakfast Room, 3 Guest Cloakrooms, Wine Cellar & Store, Utility Room.LocationThe property is located in Belsize Village between Hampstead High Street, Hampstead Heath and Primrose Hill, offering a multitude of shopping facilities and experiences, including England’s Lane, Haverstock Hill and also Primrose Hill, Camden and Finchley Road.Belsize Park Underground Station (Northern Line) is approximately 0.3 miles away and Swiss Cottage Underground Station (Jubilee Line) is within 0.7 miles of the property.Square Footage: 8,117 sq ft

 
Additional InfoHistory of Hunter’s Lodge:• In 1496 a manor house, known as Belsize House, was built off Belsize Lane, complete with a lodge house fronting onto Belsize Lane on the site of what is now Hunter’s Lodge.• In 1542 the Belsize House estate was given to the Dean of Westminster by King Henry VIII with the manor house and lodge leased to generate income for Westminster Abbey.• Between 1661 to 1798 Belsize House and lodge were leased by the Chesterfield family, initially by Katherine, Countess of Chesterfield, Lady-in-Waiting to Queen Catherine ofBraganza, the wife of King Charles II.• After Katherine’s death in 1667 her two sons took over the house and lodge• The first son Lord Wotton entertained Samuel Pepys at the lodge house in 1668, then the lease was taken over by her second son the Earl of Chesterfield and his descendants.• In 1721 Charles Povey entertained George, Prince of Wales, and his wife Caroline, at Belsize House with the lodge house used as a raucous party venue to wine and dine theRoyal visitors.• Between 1798 and 1807 Belsize House and lodge were leased by Spencer Perceval, who in 1809 was to become British Prime Minister.• In 1807 Perceval became Chancellor of the Exchequer and relocated to Downing Street leaving Belsize House and lodge vacant.• In 1808 the Dean of Westminster surrendered his freehold rights and the Belsize House Estate was divided into several freehold plots, resulting in the lodge house being put up for sale.• In 1808 the lodge house was purchased by wealthy City of London merchant William Tate who demolished the property and commissioned architect Joseph Parkinson and builder George Todd to build him a new mansion on the site in 1810-12 which was named Hunter’s Lodge.• In 1853 Belsize House was demolished.• In 2008 the current owners purchased Hunter’s Lodge and started planning applications in order to undertake a major three year refurbishment and modernisation of the Georgian mansion.Council Tax Band: H",Savills - St John's Wood & Regent's Park,15 St John's Wood High Street St John's Wood NW8 7NG,020 8022 7387
4255572,https://www.onthemarket.com/details/4255572,"£16,000,000","6,781 sq ft / 630 sq m","Charles Street, Mayfair, W1J","1. Tenure: Freehold, 2. Entrance hall, 3. Dining room, 4. 60 Foot reception room, 5. Kitchen, 6. 8 Bedrooms, 7. 8 Bathrooms, 8. Lift, 9. Roof terrace, 10. Freehold, 11. Council Tax Band H","A double-fronted freehold house located in one of Mayfair’s most sought after locations. This substantial residence offers a magnificent 60 foot reception room and eight ensuite bedrooms. There is also a sizeable roof terrace with far-reaching views over Mayfair.Totalling over 6,800 square feet and with a lift serving all floors, this property offers impressive entertaining space and extensive living accommodation. With a 60 foot frontage onto Charles Street, this is an imposing Mayfair residence.",Carter Jonas - Mayfair & St James's,"18 Davies Street Mayfair, London W1K 3DS",020 8022 7331
14164630,https://www.onthemarket.com/details/14164630,"£35,000,000","12,960 sq ft / 1,204 sq m","Brick Street, London W1J",,"United Kingdom Sotheby’s International Realty is excited to present Holderness House, a magnificent Grade II listed home in the heart of Mayfair. Set behind a distinctive red-brick façade, the expansive building unfolds across three floors, encompassing seven generous bedrooms, providing ample space for growing families or hosting guests. 

The house is arranged around a tranquil courtyard, with parking space for four cars. The entertaining spaces are on the ground floor and include a large fully-equipped kitchen, a beautiful dining room, and two reception rooms. More intimate spaces on this floor include the study, a separate office and a utility room; there are also two powder rooms on this floor. 

An extensive array of leisure facilities sit on the lower ground floor, including a deep swimming pool, a gym, a sauna, and a steam room. Wine connoisseurs can appreciate a well-appointed wine cellar, and there is a vast games room with a built-in bar; there is also a second kitchen on this floor, and the property also includes separate staff accommodation.

Situated just moments away from historic Hyde Park and Green Park, Holderness House is ideally located to enjoy the best of Mayfair. Brick Street is close to boutique shops, the city’s best art galleries and a vibrant café culture. Hyde Park is around the corner. It is also a short walk to members' clubs George’s and Annabels and is close to Scott’s Restaurant. Transport links are excellent.",United Kingdom Sotheby's International Realty - Mayfair,"48 Conduit Street Mayfair, London W1S 2YR",020 8022 3916
14883355,https://www.onthemarket.com/details/14883355,"£15,750,000",,"Hamilton Terrace, St John's Wood, London, NW8","1. Tenure: Freehold, 2. Detached stucco fronted period residence, 3. Principal bedroom suite occupying the entire first floor, 4. 32m/105' west facing garden., 5. Planning consent to create an additional 20.2 sq m/217 sq ft at garden level., 6. Freehold, 7. EPC Rating = E","A rare opportunity to purchase an exceptional detached stucco fronted period residence.
DescriptionA rare opportunity to purchase an exceptional detached stucco fronted period residence (648.53 sq m/6,981 sq ft) benefitting from outstanding entertaining areas complemented by a magnificent principal bedroom suite occupying the entire first floor of the property and featuring a beautiful 32m/105' west facing garden.The house which is situated on a 0.23 of an acre plot is presented in extremely good order throughout, providing spacious and well planned family accommodation arranged over four floors and further benefits from current planning consent to create an additional 20.2 sq m/217 sq ft at garden level.LocationLocated on the favoured west side of Hamilton Terrace between St John's Wood Road and Hall Road the property is conveniently situated within 0.5 of a mile of the local shops and restaurants of Elgin Avenue, Madia Vale Underground Station (Bakerloo Line), and Clifton Road, Little Venice whilst the ASL (American School in London), St John's Wood Underground Station (Jubilee Line) and St John's Wood High Street are also all only 0.6 of a mile away.Square Footage: 6,981 sq ft

 
Additional InfoACCOMMODATION• Reception Hall• Drawing Room incorporating• Study Area• Dining Room with adjoining Servery• Guest Cloakroom• Kitchen/Breakfast Room• Utility Room• Private Screening Room• Study• Family Room• Office• Principal Bedroom Suite comprising of Bedroom, Large Bathroom, Dressing Room and Walk In Dressing Room• 4 Further Double Bedrooms, 2 with En-Suite Bathrooms and 2 with En-Suite Shower RoomsAMENITIES• Air Conditioning• Integral Garage• Secure Off-Street Parking for one further Vehicle• Ground Floor Terrace accessible from the Drawing Room and with access to the rear Garden• First Floor Terrace accessible from the Principal Bedroom• External Shower Room for dog washing etc.• Dumb Waiter from Kitchen to servery 32m/105' West facing Garden",Savills - St John's Wood & Regent's Park,15 St John's Wood High Street St John's Wood NW8 7NG,020 8022 7387
15774176,https://www.onthemarket.com/details/15774176,"£15,750,000","6,981 sq ft / 649 sq m","Marlborough Place, London, NW8"",""agent"":{""branch_id"":4841,""name"":""Knight Frank - St John's Wood"",""contact-url"":""/agents/contact/13281157/?form-name=details-contact"",""appraisal-url"":""/agents/contact/13281157/?appraisal=true&form-name=details-appraisal"",""display-logo"":{""url"":""https://media.onthemarket.com/agents/branches/4841/150609133033937/logo-100x65.jpg"",""height"":43,""width"":100,""resized?"":true},""logo"":{""geometries"":{""300x200"":{""w"":300,""bound-y"":200,""h"":129,""url"":""agents/branches/4841/150609133033937/logo-300x200.jpg"",""bound-x"":300},""190x100"":{""w"":190,""bound-y"":100,""h"":81,""url"":""agents/branches/4841/150609133033937/logo-190x100.jpg"",""bound-x"":190},""100x65"":{""w"":100,""bound-y"":65,""h"":43,""url"":""agents/branches/4841/150609133033937/logo-100x65.jpg"",""bound-x"":100},""290x55"":{""w"":128,""bound-y"":55,""h"":55,""url"":""agents/branches/4841/150609133033937/logo-290x55.jpg"",""bound-x"":290}}},""logo-path"":""/agents/branches/4841/150609133033937/logo-original.jpg""},""property-title"":""6 bedroom detached house for sale"",""price-coming-soon?"":false,""bedrooms"":6,""id"":""13281157"",""spotlight?"":false,""bathrooms"":0,""property-link"":""/details/13281157/"",""recently-added?"":false,""exclusive?"":false,""cover-image"":{""default"":""https://media.onthemarket.com/properties/13281157/1506085418/image-0-480x320.jpg"",""portrait?"":false,""webp"":""https://media.onthemarket.com/properties/13281157/1506085418/image-0-480x320.webp""},""price"":""£12,950,000""}],""display_address"":""Hamilton Terrace, St John's Wood NW8","1. Tenure: Freehold, 2. 5 bedrooms, 3. 4 reception rooms, 4. 5 bathrooms, 5. Detached, 6. Garden, 7. Parking, 8. Patio, 9. Single Garage, 10. Town/City, 11. Private Parking","A wide detached freehold stucco-fronted home with a large west-facing garden has recently undergone extensive remodelling to create an exceptional family home with an impressive reception area and generous bedroom suites.The current owners have skilfully planned their home to offer a dramatic entrance area with an impressive reception room overlooking a stunning west-facing garden, a large entertaining dining room with a server, a modern kitchen with doors to a patio, a TV room, further reception room, opulent principal bedroom suite with dressing room and en suite bathroom, four further double bedrooms with bathrooms, utility room, garage and off street parking.Ref. No: 23/06119/FULL planning permission being granted allowing for a single-storey rear extension at lower ground floor level.Hamilton Terrace is on the west side of St John's Wood close to all the amenities of the High Street and St John's Wood Underground Station (Jubilee line). It is a quiet road and is considered one of the best locations in St John's Wood.",Knight Frank - St John's Wood,5-7 Wellington Place St John's Wood NW8 7PB,020 8022 7376
